577 - 11x Points,FRI 9 NOV 2018 08:00
No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score
1,10,3,10,5,9,7,10,9,9,11,10,13,10,15,10,17,10,19,9
2,9,4,10,6,9,8,10,10,9,12,9,14,10,16,10,18,9,20,10
No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score
21,10,23,10,25,10,27,10,29,10,31,10,33,10,35,9,37,10,39,9
22,10,24,9,26,10,28,10,30,9,32,9,34,10,36,10,38,9,40,10
No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score
41,10,43,10,45,9,47,9,49,10,51,10,53,9,55,9,57,10,59,9
42,9,44,10,46,10,48,10,50,9,52,10,54,10,56,9,58,9,60,10
