574 - 21x Points,WED 25 APR 2018 09:0
No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score
1,10,3,10,5,8,7,10,9,9,11,9,13,9,15,10,17,9,19,10
2,9,4,10,6,10,8,10,10,10,12,10,14,9,16,9,18,10,20,10
No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score
21,10,23,10,25,9,27,10,29,9,31,10,33,10,35,9,37,10,39,9
22,10,24,10,26,9,28,10,30,10,32,10,34,10,36,10,38,9,40,9
No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score
41,10,43,10,45,10,47,10,49,9,51,10,53,10,55,9,57,9,59,9
42,10,44,9,46,9,48,9,50,10,52,10,54,10,56,9,58,9,60,9
