573 - 19x Points,FRI 28 FEB 2020 12:30
No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score
1,9,3,9,5,9,7,10,9,9,11,10,13,9,15,10,17,9,19,9
2,10,4,8,6,9,8,9,10,9,12,9,14,10,16,8,18,9,20,9
No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score
21,9,23,10,25,10,27,10,29,10,31,10,33,10,35,10,37,9,39,9
22,10,24,10,26,10,28,10,30,10,32,10,34,10,36,9,38,10,40,9
No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score
41,10,43,10,45,10,47,10,49,10,51,10,53,10,55,9,57,10,59,10
42,10,44,10,46,9,48,10,50,10,52,9,54,10,56,10,58,9,60,9
