580 - 22x Points,TUE 4 SEP 2018 09:00
No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score
1,9,3,10,5,9,7,9,9,9,11,10,13,10,15,10,17,10,19,9
2,10,4,10,6,10,8,9,10,10,12,9,14,9,16,9,18,9,20,9
No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score
21,10,23,10,25,9,27,10,29,10,31,10,33,10,35,10,37,10,39,9
22,10,24,9,26,10,28,10,30,10,32,10,34,10,36,10,38,9,40,10
No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score
41,10,43,10,45,10,47,10,49,10,51,10,53,10,55,10,57,9,59,10
42,10,44,10,46,9,48,10,50,10,52,10,54,9,56,9,58,9,60,10
