577 - 16x Points,SUN 27 MAY 2018 08:45
No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score
1,10,3,9,5,9,7,9,9,10,11,10,13,9,15,9,17,8,19,10
2,10,4,9,6,9,8,10,10,10,12,10,14,10,16,9,18,10,20,9
No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score
21,10,23,10,25,10,27,10,29,10,31,10,33,9,35,10,37,10,39,10
22,10,24,10,26,10,28,10,30,10,32,9,34,9,36,10,38,9,40,10
No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score
41,10,43,9,45,10,47,10,49,10,51,9,53,9,55,10,57,9,59,9
42,10,44,10,46,10,48,10,50,10,52,9,54,9,56,9,58,10,60,10
