569 -  9x Points,FRI 26 APR 2019 11:15
No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score
1,9,3,9,5,9,7,10,9,10,11,9,13,9,15,10,17,10,19,9
2,10,4,10,6,10,8,9,10,10,12,9,14,9,16,9,18,9,20,9
No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score
21,10,23,9,25,9,27,9,29,10,31,9,33,9,35,10,37,8,39,10
22,9,24,10,26,10,28,10,30,10,32,9,34,10,36,10,38,9,40,10
No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score
41,10,43,9,45,10,47,9,49,10,51,9,53,10,55,9,57,9,59,9
42,10,44,10,46,10,48,10,50,9,52,9,54,9,56,10,58,10,60,10
