566 - 17x Points,FRI 24 JAN 2020 09:00
No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score
1,10,3,10,5,10,7,10,9,9,11,10,13,10,15,10,17,9,19,8
2,10,4,10,6,10,8,9,10,8,12,10,14,10,16,9,18,8,20,8
No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score
21,10,23,10,25,10,27,10,29,9,31,10,33,10,35,9,37,9,39,9
22,10,24,10,26,10,28,10,30,9,32,10,34,10,36,9,38,9,40,9
No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score,No,Score
41,10,43,10,45,9,47,9,49,9,51,10,53,9,55,9,57,9,59,9
42,10,44,10,46,9,48,9,50,9,52,10,54,9,56,9,58,9,60,9
